Distrito,Ano Semestre,EI,CE,SR,AI,AF,EM,EJAFAI,EJAFAF,EJAEM
BOTUCATU,2020: Semestre 2,0.0,3.972972972972973,0.0,0.0,206.8918918918919,225.3783783783784,0.0,13.567567567567568,2.2432432432432434
VOTORANTIM,2020: Semestre 2,0.0,2.06,0.0,5.9,209.82,174.76,0.28,8.54,6.7
LIMEIRA,2020: Semestre 2,0.0,3.6666666666666665,0.0,16.05128205128205,302.7564102564103,234.10256410256412,0.6923076923076923,26.71794871794872,8.41025641025641
ARARAQUARA,2020: Semestre 2,0.0,3.642857142857143,0.0,118.27142857142857,135.52857142857144,128.9142857142857,0.38571428571428573,22.314285714285713,5.571428571428571
PRESIDENTE PRUDENTE,2020: Semestre 2,0.0,4.204081632653061,0.0,4.489795918367347,230.9591836734694,166.3469387755102,1.3673469387755102,9.653061224489797,5.285714285714286
CARAGUATATUBA,2020: Semestre 2,0.3,6.375,0.0,0.975,136.975,239.425,0.35,21.75,8.05
CARAPICUIBA,2020: Semestre 2,0.0,2.7976190476190474,0.0,245.10714285714286,365.9642857142857,241.4404761904762,0.0,24.86904761904762,8.535714285714286
SUL 2,2020: Semestre 2,0.0,3.2526315789473683,0.0,367.0842105263158,301.5684210526316,278.2736842105263,0.0,44.0,0.0
SUL 1,2020: Semestre 2,0.0,3.5652173913043477,0.0,352.64130434782606,276.2608695652174,290.4673913043478,0.0,40.52173913043478,0.0
SAO JOSE DO RIO PRETO,2020: Semestre 2,0.0,3.232142857142857,0.0,0.0,267.375,250.98214285714286,0.6428571428571429,23.214285714285715,2.607142857142857
CAMPINAS OESTE,2020: Semestre 2,0.0,4.39,0.0,278.79,235.38,201.56,0.94,21.76,1.38
SUL 3,2020: Semestre 2,0.0,2.081818181818182,0.0,320.1818181818182,302.0090909090909,229.1090909090909,0.11818181818181818,36.654545454545456,0.7181818181818181
CAIEIRAS,2020: Semestre 2,0.0,2.419753086419753,0.0,26.098765432098766,348.17283950617286,231.19753086419752,1.4444444444444444,26.59259259259259,5.246913580246914
JABOTICABAL,2020: Semestre 2,0.0,5.84375,0.0,0.0,186.53125,198.75,0.6875,23.5,8.46875
APIAI,2020: Semestre 2,0.0,3.4324324324324325,0.0,26.0,130.7027027027027,81.37837837837837,0.0,2.7027027027027026,5.162162162162162
GUARULHOS SUL,2020: Semestre 2,0.0,4.511627906976744,0.0,161.6627906976744,372.13953488372096,249.12790697674419,0.0,30.313953488372093,5.906976744186046
GUARULHOS NORTE,2020: Semestre 2,0.0,6.522222222222222,0.0,135.9111111111111,380.94444444444446,240.7111111111111,1.3222222222222222,29.466666666666665,1.3666666666666667
BAURU,2020: Semestre 2,0.23469387755102042,6.387755102040816,0.061224489795918366,101.95918367346938,197.6122448979592,142.79591836734693,1.9081632653061225,12.571428571428571,9.571428571428571
PINDAMONHANGABA,2020: Semestre 2,0.0,2.0392156862745097,0.0,0.0,152.52941176470588,138.92156862745097,1.4901960784313726,19.745098039215687,10.392156862745098
ITAPECERICA DA SERRA,2020: Semestre 2,0.0,3.9393939393939394,0.0,66.25757575757575,222.3030303030303,167.5151515151515,0.0,15.636363636363637,5.393939393939394
FRANCA,2020: Semestre 2,0.0,5.935064935064935,0.0,75.06493506493507,220.9090909090909,152.63636363636363,0.6233766233766234,0.7922077922077922,1.2857142857142858
ANDRADINA,2020: Semestre 2,0.0,5.066666666666666,0.0,0.0,213.96666666666667,140.06666666666666,5.666666666666667,31.166666666666668,16.033333333333335
JACAREI,2020: Semestre 2,0.0,5.629032258064516,0.0,1.2903225806451613,301.98387096774195,203.58064516129033,0.0,24.306451612903224,12.0
