COD_ESC;NOME_ESCOLA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF
2318;SANTOS AMARO DA CRUZ PROFESSOR;0;0;0;0;757;958;0;0;0
37333;DUQUE DE CAXIAS;0;0;0;369;0;0;0;0;0
414281;CENTRO DE ATEND SOCIOEDUC AO ADOLESC NOVA VIDA CI;0;0;0;0;20;28;0;0;0
414360;CENTRO DE ATEND SOCIOEDUC AO ADOLESC BELA VISTA CI;0;0;0;0;19;19;0;0;0
414396;CENTRO DE ATEND SOCIOEDUC AO ADOLESC VILA GUILHERME CI;0;0;0;2;23;11;0;0;0
428863;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE OURO PRETO CI;0;0;0;3;25;20;0;0;0
2513;NOSSA SENHORA DA PENHA;0;0;0;0;0;1586;0;0;0
2525;ANTAO PADRE;0;0;0;0;395;321;0;135;0
2537;ADALGISA MOREIRA PIRES PROFESSORA;0;0;0;516;0;0;0;0;0
2574;CUSTODIO JOSE DE MELLO ALMIRANTE;0;0;0;0;716;0;0;0;0
2586;BARAO DE RAMALHO;0;0;0;0;542;677;0;0;0
2719;CAETANO MIELE PROFESSOR;0;0;0;0;314;634;0;0;0
2744;FILOMENA MATARAZZO CONDESSA;0;0;0;0;0;430;0;0;0
2793;REPUBLICA DO URUGUAI;0;6;0;0;538;0;0;0;0
2811;SILVA PRADO DEPUTADO;0;0;0;0;554;339;0;0;0
2987;GABRIEL PELICIOTTI PROFESSOR;0;7;0;616;0;0;0;0;0
3116;APPARECIDA RAHAL PROFESSORA;0;0;0;0;574;512;0;0;0
3219;MARIA DA CONCEICAO OLIVEIRA COSTA PROFESSORA;0;16;0;672;0;0;0;0;0
3220;MILTON CRUZEIRO PROFESSOR;0;0;0;0;821;1347;0;0;0
36778;LUIGI PIRANDELLO;0;0;0;754;0;0;0;0;0
36808;ANTONIO DE OLIVEIRA CAMARGO PROFESSOR;0;0;0;248;0;0;0;0;0
40320;CASSIO CIAMPOLINI DEPUTADO;0;0;0;790;0;0;0;0;0
40964;LEONOR RENDESI PROFESSORA;0;0;0;333;340;288;0;0;0
46280;MARIA APARECIDA MACHADO JULIANELLI;0;12;0;860;0;0;0;0;0
902248;ANNA PONTES TOLEDO NATALI PROFESSORA;0;0;0;560;0;0;0;0;0
906955;EDSON LUIZ RIBEIRO LUZIA PROFESSOR;0;8;0;649;0;0;0;0;0
910855;JOSE BORGES DOS SANTOS JUNIOR REV;0;0;0;555;0;0;0;0;0
916493;JULIO DE CARVALHO BARATA;0;0;0;0;282;349;0;64;0
985065;CEL JTO A EE ERMELINO MATARAZZO;0;0;0;0;0;0;0;0;0
2471;ZALINA ROLIM DONA;0;0;0;0;103;429;0;0;0
2598;ASTOLFO ARAUJO DEPUTADO;0;0;0;0;288;138;0;0;0
2636;INFANTE DOM HENRIQUE;0;0;0;0;186;691;0;0;0
2641;JOSE PEREIRA DE QUEIROZ DR;0;0;0;0;0;644;0;0;0
2690;JOAO RAMACCIOTTI PROF;0;0;0;0;421;268;0;0;0
3098;ASCANIO DE AZEVEDO CASTILHO PROF;0;0;0;534;0;0;0;0;0
3104;CIDADE DE HIROSHIMA;0;0;0;0;704;597;0;0;0
3136;LINA DA COSTA COUTO PROFA;0;0;0;476;0;0;0;0;0
3153;LUZIA DE QUEIROZ E OLIVEIRA PROFA;0;0;0;0;484;162;0;0;0
3189;ALFREDO MACHADO PEDROSA PROF;0;0;0;929;0;0;0;0;0
39263;CHIBATA MIYAKOSHI;0;0;0;0;349;136;0;0;0
41671;AMADOR ARRUDA MENDES PROF;0;0;0;456;0;0;0;0;0
41701;MARIA LOURDES ROSARIO NEGREIROS PROFA;0;17;0;670;0;0;0;0;0
44283;OCTACILIO DE CARVALHO LOPES PROF;0;0;0;0;191;240;0;0;0
48641;PAULO LAURO DR;0;0;0;0;521;303;0;0;0
901702;MIGUEL SANSIGOLO PROF;0;0;0;0;581;321;0;0;0
902792;JULIETA FARAO PROFA;0;0;0;285;245;173;0;0;0
902810;JOZINEIDE PEREIRA GAUDINO;0;0;0;279;278;139;0;0;0
909026;A HEBRAICA;0;0;0;414;0;0;0;0;0
909051;LOURENCO ZANELATTI;0;0;0;134;268;416;0;0;0
909075;WILFREDO PINHEIRO PROF;0;0;0;258;304;256;0;0;0
909105;VALDIR FERNANDES PINTO PROF;0;0;0;0;175;137;0;0;0
909130;INAH JACY DE CASTRO AGUIAR;0;0;0;0;489;287;0;0;0
914678;OCTAVIO MARCONDES FERRAZ ENGENHEIRO;0;39;0;813;0;0;0;0;0
924209;IVO BANDONI PROF;0;0;0;548;0;0;0;0;0
295985;CENTRO ATEND SOCIOEDUC AO ADOLESCENTE  ITAQUERACI;0;0;0;5;34;13;0;0;0
2859;MARIO KOZEL FILHO;0;12;0;645;717;701;0;0;0
2860;ESTELA BORGES MORATO;0;0;0;439;0;702;0;293;0
2938;ALBERTO SCHWEITZER;0;33;0;632;0;0;0;0;0
2948;PLINIO CAIADO DE CASTRO DR;0;19;0;880;0;0;0;0;0
2963;JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF;0;11;0;0;543;257;0;0;0
36791;FORCA AEREA BRASILEIRA;0;14;0;713;0;0;0;0;0
37023;HECKEL TAVARES;0;0;0;0;412;221;0;0;0
37357;HENRIQUE SMITH BAYMA DR;0;35;0;525;603;492;0;0;0
38118;ALCEU GUERNER GONZALEZ PROF;0;4;0;889;0;0;0;0;0
39123;CHARLES DE GAULLE;0;0;0;0;637;1230;0;0;0
46309;TERCIO MORAES PEREIRA REV;0;0;0;0;0;500;0;0;0
434292;CRISTINA DE CASTRO PAES PROFESSORA;0;6;0;573;0;0;0;0;0
902861;FRANCISCO PARENTE;0;5;0;0;396;158;0;0;0
904636;LAURO CELIDONIO GOMES DOS REIS DR;0;0;0;520;0;0;0;0;0
906165;CLOVIS RENE CALABREZ PROF;0;0;0;487;593;501;0;178;0
907157;CAETANO ZAMITTI MAMMANA PROF;0;24;0;0;398;984;0;0;0
910284;SERGIO PAULO MUNIZ PIMENTA CAPITAO;0;0;0;0;498;256;0;0;0
916500;HUGO TAKAHASHI ENG;0;11;0;616;0;0;0;0;0
916523;EDER BERNARDES DOS SANTOS SOLDADO PM;0;0;0;0;284;354;0;153;0
917382;PAULINA MADRE;0;0;0;0;447;569;0;0;0
923588;MARIA DE LOURDES VIEIRA;0;16;0;0;376;234;0;0;0
924829;JOAO DORIA DEPUTADO;0;0;0;0;391;0;0;0;0
3177;ALCIDES BOSCOLO PROFESSOR;0;0;0;846;0;0;0;0;0
3244;ADHEMAR ANTONIO PRADO PROFESSOR;0;0;0;0;480;222;0;0;0
3268;SEBASTIAO FARIA ZIMBRES PROFESSOR;0;0;0;0;346;199;0;0;0
36812;PAULO SARASATE GOVERNADOR;0;0;0;0;324;141;0;0;0
37084;ERNESTINA DEL BUONO TRAMA PROFESSORA;0;11;0;0;489;567;0;0;0
43746;FRANCISCO DE ASSIS PIRES CORREA PROFESSOR;0;0;0;0;617;711;0;0;0
48653;MOACYR AMARAL DOS SANTOS;0;0;0;0;255;356;0;0;0
267971;JARDIM DOM ANGELICO;0;0;0;510;0;0;0;0;0
284324;BELIZE;0;0;0;431;396;426;0;0;0
902724;FERNANDO MAURO PIRES DA ROCHA DEPUTADO;0;0;0;275;268;205;0;0;0
904296;MARIUMA BUAZAR MAUAD;0;0;0;0;374;607;0;0;0
904314;GUERRA JUNQUEIRO;0;0;0;0;327;88;0;0;0
904922;CANDIDO PROCOPIO FERREIRA DE CAMARGO PROFESSOR;0;0;0;503;0;0;0;0;0
906177;CAMILO CASTELO BRANCO;0;0;0;346;0;0;0;0;0
908368;OSWALDO GAGLIARDI;0;0;0;661;519;546;0;0;0
908782;VALENTIM CARRA PROFESSOR;0;0;0;647;0;0;0;0;0
909117;ISAAC SCHRAIBER PROFESSOR;0;0;0;0;287;417;0;0;0
910831;GERALDINO DOS SANTOS DEPUTADO;0;0;0;618;431;404;0;0;0
914712;SERGIO ESTANISLAU CAMARGO;0;0;0;609;231;0;0;0;0
916766;CONJUNTO HABITACIONAL ITAQUERA IV I;0;0;0;452;0;0;0;0;0
921464;CONJUNTO HABITACIONAL CARRAOZINHO;0;0;0;790;0;0;0;0;0
923047;VILA BELA;0;0;0;0;659;343;0;0;0
923278;SILVANA EVANGELISTA PROFESSORA;0;0;0;0;298;679;0;0;0
925226;ESTHER DE FIGUEIREDO FERRAZ;0;0;0;814;0;0;0;0;0
3591;EDMUNDO DE CARVALHO DOUTOR;0;7;0;344;0;0;0;0;0
3657;EMILIANO AUGUSTO CAVALCANTI DE ALBUQUERQUE E MELO;0;11;0;0;145;101;0;0;0
3840;CARLOS MAXIMILIANO PEREIRA DOS SANTOS;0;12;0;0;410;0;0;0;0
3897;ALFREDO BRESSER;0;0;0;206;0;0;0;0;0
3943;JACYRA MOYA MARTINS CARVALHO PROFESSORA;0;11;0;608;0;0;0;0;0
3955;KEIZO ISHIHARA;0;0;0;185;323;0;0;98;0
3967;KYRILLOS DOUTOR;0;0;0;0;572;0;0;0;0
4029;FLAVIA VIZIBELI PIRRO PROFESSORA;0;0;0;150;144;0;0;0;0
4030;GUIOMAR ROCHA RINALDI PROFESSORA;0;0;0;0;108;218;0;0;0
4112;LUIS ELIAS ATTIE;0;10;0;502;0;0;0;0;0
4145;ALBERTO LEVY PROFESSOR;0;0;0;0;0;375;0;137;0
4157;ALBERTO TORRES;0;0;0;0;0;374;0;0;0
4200;ADOLFINO DE ARRUDA CASTANHO PROFESSOR;0;10;0;638;0;0;0;0;0
4259;ADOLFO TRIPOLI PROFESSOR;0;15;0;530;0;0;0;0;0
4765;BARROSO ALMIRANTE;0;9;0;414;0;0;0;0;0
906529;MARIA LUISA MONTEIRO DA CUNHA BIBLIOTECARIA;0;0;0;626;0;0;0;0;0
4996;DAVINA AGUIAR DIAS PROFESSORA;0;12;0;248;186;0;0;0;0
5009;BEATRIZ DE QUADROS LEME PROFESSORA;0;0;0;0;487;802;0;0;0
5241;PAULO OCTAVIO DE AZEVEDO PROFESSOR;0;19;0;643;440;420;0;0;0
5411;AMELIA KERR NOGUEIRA PROFESSORA;0;28;0;200;1073;786;0;196;0
36717;FRANCISCO DE PAULA VICENTE DE AZEVEDO;0;0;0;460;423;0;0;0;0
37400;OSWALD DE ANDRADE;0;0;0;736;0;0;0;0;0
38246;EURICO GASPAR DUTRA MARECHAL;0;0;0;555;0;0;0;0;0
44386;DAVID NASSER JORNALISTA;0;26;0;198;352;290;0;0;0
191917;MARILSA GARBOSSA FRANCISCO PROFESSORA;0;12;0;290;169;24;0;0;0
297501;REPUBLICA DO PANAMA;0;0;0;0;371;1332;0;0;0
461295;RAIMUNDO SERAFIM DE LIMA INSPETOR;0;0;0;0;225;137;0;0;0
461301;CHACARA SANTA MARIA;0;0;0;1016;0;0;0;0;0
